id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,pos_ecr,sd_ecr,risk
8416,Delanie,Walker,TEN,TE,34,12,TE,average,0,102,0,NA,0,0,NA,NA,NA,NaN
8416,Delanie,Walker,TEN,TE,34,12,TE,robust,0,101,0,0,0,0,NA,NA,NA,NaN
8416,Delanie,Walker,TEN,TE,34,12,TE,weighted,0,102,0,NaN,0,0,NA,NA,NA,NaN
8590,John,Kuhn,FA,RB,36,12,RB,average,0.7000000000000001,129,0.05587500000000001,NA,0.7000000000000001,0.7000000000000001,NA,NA,NA,NaN
8590,John,Kuhn,FA,RB,36,12,RB,robust,0.7000000000000001,127,0.06587500000000002,0,0.7000000000000001,0.7000000000000001,NA,NA,NA,NaN
8590,John,Kuhn,FA,RB,36,12,RB,weighted,NA,NA,NA,NaN,0.7000000000000001,0.7000000000000001,NA,NA,NA,NaN
8658,Adrian,Peterson,WAS,RB,33,11,RB,average,12.001833333333334,16,0.3229333333333333,3.367595012270131,9.7975,17.18,4,16.8,4.9,4.675861929767845
8658,Adrian,Peterson,WAS,RB,33,11,RB,robust,11.417,18,0.07000000000000028,1.297275,9.7975,17.18,4,16.8,4.9,4.675861929767845
8658,Adrian,Peterson,WAS,RB,33,11,RB,weighted,11.160790447809214,14,0.16552811402532264,0.8502124621902655,10.27,12.01299,4,16.8,4.9,4.675861929767845
8670,Marshawn,Lynch,OAK,RB,32,11,RB,average,9.6605,29,0.2812999999999999,3.394700281320871,6.9825,14.650000000000002,8,26.7,4,4.124571983546227
8670,Marshawn,Lynch,OAK,RB,32,11,RB,robust,8.638,36,0.026500000000000412,1.4307090000000005,6.9825,14.650000000000002,8,26.7,4,4.124571983546227
8670,Marshawn,Lynch,OAK,RB,32,11,RB,weighted,8.562325097923827,31,0.18086920359735537,1.3287749594469374,6.72,9.626395,8,26.7,4,4.124571983546227
8673,Ted,Ginn Jr.,NOS,WR,33,11,WR,average,6.583333333333334,46,0.12533333333333374,2.4081417455512595,3.0950000000000006,8.637500000000001,8,45.8,6.8,4.649443296336918
8673,Ted,Ginn Jr.,NOS,WR,33,11,WR,robust,7.1850000000000005,37,0.11412499999999959,1.690164,3.0950000000000006,8.637500000000001,8,45.8,6.8,4.649443296336918
8673,Ted,Ginn Jr.,NOS,WR,33,11,WR,weighted,7.669279600570613,29,0.14555848787446557,1.1450330744464425,6.080000000000001,8.651164133738602,8,45.8,6.8,4.649443296336918
8687,Greg,Olsen,CAR,TE,33,11,TE,average,0,102,0,NA,0,0,NA,NA,NA,NaN
8687,Greg,Olsen,CAR,TE,33,11,TE,robust,0,101,0,0,0,0,NA,NA,NA,NaN
8687,Greg,Olsen,CAR,TE,33,11,TE,weighted,0,102,0,NaN,0,0,NA,NA,NA,NaN
8712,Drew,Stanton,CLE,QB,34,11,QB,average,0,78,NA,NA,0,0,10,NA,NA,NaN
8712,Drew,Stanton,CLE,QB,34,11,QB,robust,0,77,NA,0,0,0,10,NA,NA,3.418675424314606
8712,Drew,Stanton,CLE,QB,34,11,QB,weighted,0,69,NA,NaN,0,0,10,NA,NA,NaN
8910,Clark,Harris,CIN,TE,34,11,TE,average,NA,NA,NA,NA,0,0,NA,NA,NA,NaN
8910,Clark,Harris,CIN,TE,34,11,TE,robust,NA,NA,NA,0,0,0,NA,NA,NA,NaN
8910,Clark,Harris,CIN,TE,34,11,TE,weighted,NA,NA,NA,NaN,0,0,NA,NA,NA,NaN
9054,Jamaal,Charles,FA,RB,32,10,RB,average,15.3,4,0.2616000000000014,NA,15.3,15.3,2,88.7,4.5,4.43084417589157
9054,Jamaal,Charles,FA,RB,32,10,RB,robust,15.3,4,0.35350000000000037,0,15.3,15.3,2,88.7,4.5,4.43084417589157
9054,Jamaal,Charles,FA,RB,32,10,RB,weighted,NA,NA,NA,NaN,15.3,15.3,2,88.7,4.5,4.43084417589157
9064,Joe,Flacco,BAL,QB,33,10,QB,average,12.018099999999999,33,0.4468166666666651,1.2857471628071622,10.67,13.510950000000001,5,25.2,3,5.744071367629925
9064,Joe,Flacco,BAL,QB,33,10,QB,robust,12.205799999999998,33,0.7020499999999981,1.786533,10.67,13.510950000000001,5,25.2,3,6.286848442091948
9064,Joe,Flacco,BAL,QB,33,10,QB,weighted,12.5309131577215,30,2.416578261865112,1.297704821148596,10.66,13.530692826747721,5,25.2,3,5.75703168385684
9073,Chad,Henne,KCC,QB,33,10,QB,average,1.7830933333333334,46,0.5041349840839846,3.2187110474018428,0.001,6.09745,10,NA,NA,10.395879794312126
9073,Chad,Henne,KCC,QB,33,10,QB,robust,0.3254,53,0.05099999999999999,0.16456859999999998,0.001,6.09745,10,NA,NA,3.775411005164968
9073,Chad,Henne,KCC,QB,33,10,QB,weighted,0.15636652456404065,58,0.025333987991096013,0.18368121944785862,0,0.31867726443768996,10,NA,NA,3.816841456662421
9075,DeSean,Jackson,TBB,WR,32,10,WR,average,7.1880682730923695,36,0.03581827309236907,3.114280799066965,5.7075,12.045807228915663,9,55.8,18.6,9.947208640749356
9075,DeSean,Jackson,TBB,WR,32,10,WR,robust,6.3165000000000004,46,0.022875000000000867,0.674583,5.7075,12.045807228915663,9,55.8,18.6,9.947208640749356
9075,DeSean,Jackson,TBB,WR,32,10,WR,weighted,6.026721825962909,50,0.050113004559396046,0.563712135283005,5.67,6.859180547112461,9,55.8,18.6,9.947208640749356
